Year,river,date,DO,BOD,COD,SS,pH,NH3N,TEMP,COND,SAL,TUR,TC,Class
2019,RASAU,9/1/2019,3.778,8,20,22,6.614,0.17,29.452,121.832,0.056,2.991,23000,Slightly Polluted
2019,RASAU,14/3/2019,3.928,5,19,22,6.981,0.12,28.966,113.788,0.052,3.057,88000,Slightly Polluted
2019,RASAU,9/5/2019,4.59,5,20,19,6.975,0.08,28.189,90.643,0.041,7.384,48000,Slightly Polluted
2019,RASAU,5/7/2019,3.647,5,19,24,6.879,0.18,29.33,109.78,0.05,3.916,23000,Slightly Polluted
2019,RASAU,10/9/2019,3.427,6,20,29,7.045,0.16,29.157,124.223,0.057,5.128,3600,Slightly Polluted
2019,RASAU,5/11/2019,3.294,19,66,30,6.815,6.19,28.828,200.52,0.093,6.605,590000,Polluted
2019,KLANG,10/1/2019,8.692,3,13,3,7.114,0.37,30.32,56.069,0.025,2.172,200000,Clean
2019,KLANG,12/3/2019,10.792,3,13,3,6.927,0.09,32.173,48.85,0.021,4.045,42000,Clean
2019,KLANG,10/5/2019,8.045,4,15,4,7.398,0.39,33.486,50.693,0.022,1.712,168000,Clean
2019,KLANG,11/7/2019,8.734,4,14,7,7.196,0.31,30.653,61.592,0.027,2.52,136000,Clean
2019,KLANG,11/9/2019,8.684,5,15,4,7.143,0.38,31.225,58.607,0.026,2.135,144000,Clean
2019,KLANG,7/11/2019,7.733,4,14,34,6.917,0.12,29.324,58.086,0.026,0.936,300000,Clean
2019,KLANG,10/1/2019,5.763,6,15,18,7.093,2.8,30.116,131.355,0.06,12.864,500000,Slightly Polluted
2019,KLANG,12/3/2019,5.805,4,14,27,7.649,2.32,30.323,139.675,0.064,16.158,160000,Slightly Polluted
2019,KLANG,10/5/2019,4.828,4,16,26,7.368,2.89,31.057,144.568,0.066,10.039,256000,Slightly Polluted
2019,KLANG,11/7/2019,5.659,4,14,6,6.918,0.94,28.958,101.658,0.046,7.73,104000,Clean
2019,KLANG,11/9/2019,4.961,5,16,7,7.598,3.33,29.075,146.057,0.067,11.002,400000,Slightly Polluted
2019,KLANG,7/11/2019,6.699,6,18,31,7.57,0.79,28.82,107.992,0.049,12.528,100000,Slightly Polluted
